name,hex,rgb
b4df13,"['#8ECAE6', '#219EBC', '#023047', '#FFB703', '#FB8500']","[(142, 202, 230), (33, 158, 188), (2, 48, 71), (255, 183, 3), (251, 133, 0)]"
71662f,"['#CDB4DB', '#FFC8DD', '#FFAFCC', '#BDE0FE', '#A2D2FF']","[(205, 180, 219), (255, 200, 221), (255, 175, 204), (189, 224, 254), (162, 210, 255)]"
53fe4c,"['#CCD5AE', '#E9EDC9', '#FEFAE0', '#FAEDCD', '#D4A373']","[(204, 213, 174), (233, 237, 201), (254, 250, 224), (250, 237, 205), (212, 163, 115)]"
8c15d2,"['#606C38', '#283618', '#FEFAE0', '#DDA15E', '#BC6C25']","[(96, 108, 56), (40, 54, 24), (254, 250, 224), (221, 161, 94), (188, 108, 37)]"
22d001,"['#DAD7CD', '#A3B18A', '#588157', '#3A5A40', '#344E41']","[(218, 215, 205), (163, 177, 138), (88, 129, 87), (58, 90, 64), (52, 78, 65)]"
35f814,"['#006D77', '#83C5BE', '#EDF6F9', '#FFDDD2', '#E29578']","[(0, 109, 119), (131, 197, 190), (237, 246, 249), (255, 221, 210), (226, 149, 120)]"
08a48a,"['#003049', '#D62828', '#F77F00', '#FCBF49', '#EAE2B7']","[(0, 48, 73), (214, 40, 40), (247, 127, 0), (252, 191, 73), (234, 226, 183)]"
667b70,"['#780000', '#C1121F', '#FDF0D5', '#003049', '#669BBC']","[(120, 0, 0), (193, 18, 31), (253, 240, 213), (0, 48, 73), (102, 155, 188)]"
9ade13,"['#264653', '#2A9D8F', '#E9C46A', '#F4A261', '#E76F51']","[(38, 70, 83), (42, 157, 143), (233, 196, 106), (244, 162, 97), (231, 111, 81)]"
02096f,"['#FFBE0B', '#FB5607', '#FF006E', '#8338EC', '#3A86FF']","[(255, 190, 11), (251, 86, 7), (255, 0, 110), (131, 56, 236), (58, 134, 255)]"
fbcd0a,"['#0D1B2A', '#1B263B', '#415A77', '#778DA9', '#E0E1DD']","[(13, 27, 42), (27, 38, 59), (65, 90, 119), (119, 141, 169), (224, 225, 221)]"
0eac9c,"['#03045E', '#0077B6', '#00B4D8', '#90E0EF', '#CAF0F8']","[(3, 4, 94), (0, 119, 182), (0, 180, 216), (144, 224, 239), (202, 240, 248)]"
75100a,"['#22223B', '#4A4E69', '#9A8C98', '#C9ADA7', '#F2E9E4']","[(34, 34, 59), (74, 78, 105), (154, 140, 152), (201, 173, 167), (242, 233, 228)]"
b909e3,"['#03045E', '#023E8A', '#0077B6', '#0096C7', '#00B4D8', '#48CAE4', '#90E0EF', '#ADE8F4', '#CAF0F8']","[(3, 4, 94), (2, 62, 138), (0, 119, 182), (0, 150, 199), (0, 180, 216), (72, 202, 228), (144, 224, 239), (173, 232, 244), (202, 240, 248)]"
9d536e,"['#FFCDB2', '#FFB4A2', '#E5989B', '#B5838D', '#6D6875']","[(255, 205, 178), (255, 180, 162), (229, 152, 155), (181, 131, 141), (109, 104, 117)]"
269b4f,"['#EDEDE9', '#D6CCC2', '#F5EBE0', '#E3D5CA', '#D5BDAF']","[(237, 237, 233), (214, 204, 194), (245, 235, 224), (227, 213, 202), (213, 189, 175)]"
606e64,"['#9B5DE5', '#F15BB5', '#FEE440', '#00BBF9', '#00F5D4']","[(155, 93, 229), (241, 91, 181), (254, 228, 64), (0, 187, 249), (0, 245, 212)]"
a2c1dc,"['#000000', '#14213D', '#FCA311', '#E5E5E5', '#FFFFFF']","[(0, 0, 0), (20, 33, 61), (252, 163, 17), (229, 229, 229), (255, 255, 255)]"
8c9bb8,"['#E63946', '#F1FAEE', '#A8DADC', '#457B9D', '#1D3557']","[(230, 57, 70), (241, 250, 238), (168, 218, 220), (69, 123, 157), (29, 53, 87)]"
d0c514,"['#E7ECEF', '#274C77', '#6096BA', '#A3CEF1', '#8B8C89']","[(231, 236, 239), (39, 76, 119), (96, 150, 186), (163, 206, 241), (139, 140, 137)]"
1848a7,"['#2B2D42', '#8D99AE', '#EDF2F4', '#EF233C', '#D90429']","[(43, 45, 66), (141, 153, 174), (237, 242, 244), (239, 35, 60), (217, 4, 41)]"
7529ea,"['#6B9080', '#A4C3B2', '#CCE3DE', '#EAF4F4', '#F6FFF8']","[(107, 144, 128), (164, 195, 178), (204, 227, 222), (234, 244, 244), (246, 255, 248)]"
3ab76e,"['#EDE0D4', '#E6CCB2', '#DDB892', '#B08968', '#7F5539', '#9C6644']","[(237, 224, 212), (230, 204, 178), (221, 184, 146), (176, 137, 104), (127, 85, 57), (156, 102, 68)]"
5ab488,"['#5F0F40', '#9A031E', '#FB8B24', '#E36414', '#0F4C5C']","[(95, 15, 64), (154, 3, 30), (251, 139, 36), (227, 100, 20), (15, 76, 92)]"
