name,palette,source
Serene_Dusk_Whisper,"['#8ECAE6', '#219EBC', '#023047', '#FFB703', '#FB8500']",coolors.co
Opulent_Teal_Echo,"['#CDB4DB', '#FFC8DD', '#FFAFCC', '#BDE0FE', '#A2D2FF']",coolors.co
Light_Twilight_Reef,"['#CCD5AE', '#E9EDC9', '#FEFAE0', '#FAEDCD', '#D4A373']",coolors.co
Muted_Peridot_Reef,"['#606C38', '#283618', '#FEFAE0', '#DDA15E', '#BC6C25']",coolors.co
Ethereal_Blossom_Bluff,"['#DAD7CD', '#A3B18A', '#588157', '#3A5A40', '#344E41']",coolors.co
Magical_Ocean_Whisper,"['#006D77', '#83C5BE', '#EDF6F9', '#FFDDD2', '#E29578']",coolors.co
Bright_Emerald_Shore,"['#003049', '#D62828', '#F77F00', '#FCBF49', '#EAE2B7']",coolors.co
Mystical_Slate_Whisper,"['#780000', '#C1121F', '#FDF0D5', '#003049', '#669BBC']",coolors.co
Lustrous_Amber_Woodland,"['#264653', '#2A9D8F', '#E9C46A', '#F4A261', '#E76F51']",coolors.co
Vivid_Aquamarine_Summit,"['#FFBE0B', '#FB5607', '#FF006E', '#8338EC', '#3A86FF']",coolors.co
Harmonious_Azure_Starlight,"['#0D1B2A', '#1B263B', '#415A77', '#778DA9', '#E0E1DD']",coolors.co
Glossy_Teal_Horizon,"['#03045E', '#0077B6', '#00B4D8', '#90E0EF', '#CAF0F8']",coolors.co
Resplendent_Coral_Wilderness,"['#22223B', '#4A4E69', '#9A8C98', '#C9ADA7', '#F2E9E4']",coolors.co
Magical_Ivory_Valley,"['#03045E', '#023E8A', '#0077B6', '#0096C7', '#00B4D8', '#48CAE4', '#90E0EF', '#ADE8F4', '#CAF0F8']",coolors.co
Shimmering_Emerald_Fen,"['#FFCDB2', '#FFB4A2', '#E5989B', '#B5838D', '#6D6875']",coolors.co
Mellow_Moonlight_Garden,"['#EDEDE9', '#D6CCC2', '#F5EBE0', '#E3D5CA', '#D5BDAF']",coolors.co
