name,palette,source
lupinus,"['#6C568CFF', '#9386A6FF', '#BFCDD9FF', '#7F8C72FF', '#607345FF']",calecopal
C_M_Coolidge,"['#204035FF', '#4A7169FF', '#BEB59CFF', '#735231FF', '#49271BFF']",lisa
FridaKahlo,"['#121510FF', '#6D8325FF', '#D6CFB7FF', '#E5AD4FFF', '#BD5630FF']",lisa
OskarSchlemmer,"['#3A488AFF', '#8785B2FF', '#DABD61FF', '#D95F30FF', '#BE3428FF']",lisa
miami1,"['#69D2E7FF', '#A7DBD8FF', '#E0E4CCFF', '#F38630FF', '#FA6900FF']",NineteenEightyR
miami2,"['#3FB8AFFF', '#7FC7AFFF', '#DAD8A7FF', '#FF9E9DFF', '#FF3D7FFF']",NineteenEightyR
mountain_forms,"['#184860FF', '#486078FF', '#D8D8D8FF', '#484860FF', '#181830FF']",nord
silver_mine,"['#4B644BFF', '#647D4BFF', '#E1E1E1FF', '#7D96AFFF', '#647D96FF']",nord
Shuksan2,"['#5D74A5FF', '#B0CBE7FF', '#FEF7C7FF', '#EBA07EFF', '#A8554EFF']",PNWColors
X1,"['#273649FF', '#647184FF', '#B1B2C8FF', '#A7755DFF', '#5D2E1CFF', '#38201CFF']",beyonce
X6,"['#1C3333FF', '#226060FF', '#639CA4FF', '#D2AD7CFF', '#BE7245FF', '#46211CFF']",beyonce
X10,"['#2A2432FF', '#4F3855FF', '#846D86FF', '#EFEFCFFF', '#D5B77DFF', '#A89E5EFF']",beyonce
X34,"['#000000FF', '#333333FF', '#666666FF', '#F8D564FF', '#EFB344FF', '#F8A02EFF']",beyonce
X39,"['#417839FF', '#9BB655FF', '#D3D5AEFF', '#EDD6D5FF', '#D89873FF', '#803342FF']",beyonce
X46,"['#1F1A15FF', '#5F392CFF', '#ECCAADFF', '#EBD6C0FF', '#EA879CFF', '#8E2322FF']",beyonce
X47,"['#2D1E78FF', '#4A3587FF', '#635595FF', '#ABB2A5FF', '#9D9E92FF', '#848575FF']",beyonce
X51,"['#07646DFF', '#45837FFF', '#699896FF', '#E394BBFF', '#DE6DA7FF', '#D4419EFF']",beyonce
X124,"['#141824FF', '#32363FFF', '#55555FFF', '#AD8875FF', '#523B33FF', '#361913FF']",beyonce
