name,palette,source,kind,paletteer-kind
Abbott,"['#950404FF', '#E04B28FF', '#C38961FF', '#9F5630FF', '#388F30FF', '#0F542FFF', '#007D82FF', '#004042FF']",The R package: {MoMAColors},qualitative,discrete-qualitative
Acadia,"['#FED789FF', '#023743FF', '#72874EFF', '#476F84FF', '#A4BED5FF', '#453947FF']",The R package: {nationalparkcolors},qualitative,discrete-qualitative
Acanthisthius_brasilianus,"['#527E87FF', '#B88244FF', '#B8B69EFF', '#B48F2CFF', '#A37903FF']",The R package: {fishualize},qualitative,discrete-qualitative
Acanthostracion_polygonius,"['#0F1926FF', '#025940FF', '#02734AFF', '#038C33FF', '#03A62CFF']",The R package: {fishualize},sequential,discrete-sequential
Acanthostracion_polygonius_y,"['#491212FF', '#F27127FF', '#F24C27FF', '#BF281BFF', '#CE471CFF']",The R package: {fishualize},qualitative,discrete-qualitative
Acanthurus_chirurgus,"['#00010DFF', '#032CA6FF', '#034AA6FF', '#035AA6FF', '#93ABBFFF']",The R package: {fishualize},qualitative,discrete-qualitative
Acanthurus_coeruleus,"['#0476D9FF', '#01260EFF', '#618C03FF', '#BFB304FF', '#A68B03FF']",The R package: {fishualize},qualitative,discrete-qualitative
Acanthurus_leucosternon,"['#071140FF', '#0E34B2FF', '#207CF5FF', '#9EC8FFFF', '#FBFB53FF']",The R package: {fishualize},qualitative,discrete-qualitative
Acanthurus_olivaceus,"['#FDC718FF', '#3E938BFF', '#1D373AFF', '#1942CDFF', '#73D8FEFF']",The R package: {fishualize},qualitative,discrete-qualitative
Acanthurus_sohal,"['#E96C0CFF', '#CDEE40FF', '#8BD4F7FF', '#1927DDFF', '#0D0006FF']",The R package: {fishualize},qualitative,discrete-qualitative
Acanthurus_triostegus,"['#110F0EFF', '#673821FF', '#BD9931FF', '#EEE436FF', '#E9E9DCFF']",The R package: {fishualize},sequential,discrete-sequential
Accent,"['#7fc97f', '#beaed4', '#fdc086', '#ffff99', '#386cb0', '#f0027f', '#bf5b17', '#666666', '#7fc97f', '#beaed4']",matplotlib/seaborn builtin,,
Accent_r,"['#666666', '#bf5b17', '#f0027f', '#386cb0', '#ffff99', '#fdc086', '#beaed4', '#7fc97f']",matplotlib/seaborn builtin,unknown,unknown
AirNomads,"['#FF9933FF', '#C24841FF', '#FFFF33FF', '#8B5B45FF', '#87AFD1FF', '#EEB05AFF', '#DBC5A0FF']",The R package: {tvthemes},qualitative,discrete-qualitative
Alacena,"['#693829FF', '#894B33FF', '#A56A3EFF', '#CFB267FF', '#D9C5B6FF', '#9CA9BAFF', '#5480B5FF', '#3D619DFF', '#405A95FF', '#345084FF']",The R package: {MexBrewer},diverging,discrete-diverging
AlbrechtDurer,"['#657359FF', '#9AA582FF', '#8B775FFF', '#D7C9BEFF', '#F1E4DBFF']",The R package: {lisa},qualitative,discrete-qualitative
Alexandrite,"['#240E31FF', '#CB6BCEFF', '#468892FF', '#74F3D3FF', '#751C6DFF', '#FDC067FF', '#AC9ECEFF', '#6EC5ABFF']",The R package: {tvthemes},qualitative,discrete-qualitative
Alkalay1,"['#241D1DFF', '#5B2125FF', '#8D3431FF', '#BF542EFF', '#E9A800FF']",The R package: {MoMAColors},sequential,discrete-sequential
Alkalay2,"['#EBCF2EFF', '#B4BF3AFF', '#88AB38FF', '#5E9432FF', '#3B7D31FF', '#225F2FFF', '#244422FF', '#252916FF']",The R package: {MoMAColors},sequential,discrete-sequential
